state,symbol,smiles,next_state
X0,[F],F,1
X0,[=O],O,2
X0,[#N],N,3
X0,[O],O,2
X0,[N],N,3
X0,[=N],N,3
X0,[C],C,4
X0,[=C],C,4
X0,[#C],C,4
X1,[F],F,0
X1,[=O],O,0
X1,[#N],N,0
X1,[O],O,1
X1,[N],N,2
X1,[=N],N,2
X1,[C],C,3
X1,[=C],C,3
X1,[#C],C,3
X2,[F],F,0
X2,[=O],=O,0
X2,[#N],=N,0
X2,[O],O,1
X2,[N],N,2
X2,[=N],=N,2
X2,[C],C,3
X2,[=C],=C,2
X2,[#C],=C,2
X3,[F],F,0
X3,[=O],=O,0
X3,[#N],#N,0
X3,[O],O,1
X3,[N],N,2
X3,[=N],=N,1
X3,[C],C,3
X3,[=C],=C,2
X3,[#C],#C,1
X4,[F],F,0
X4,[=O],=O,0
X4,[#N],#N,0
X4,[O],O,1
X4,[N],N,2
X4,[=N],=N,1
X4,[C],C,3
X4,[=C],=C,2
X4,[#C],#C,1
