state,symbol,smiles,next_state
X0,[F],F,1
X0,[=O],O,2
X0,[#N],N,3
X0,[O],O,2
X0,[N],N,3
X0,[=N],N,3
X0,[C],C,4
X0,[=C],C,4
X0,[#C],C,4
X1,[F],F,0
X1,[=O],O,0
X1,[#N],N,0
X1,[O],O,1
X1,[N],N,2
X1,[=N],N,2
X1,[C],C,3
X1,[=C],C,3
X1,[#C],C,3
X2,[F],F,0
X2,[=O],=O,0
X2,[#N],=N,0
X2,[O],O,1
X2,[N],N,2
X2,[=N],=N,2
X2,[C],C,3
X2,[=C],=C,2
X2,[#C],=C,2
X3,[F],F,0
X3,[=O],=O,0
X3,[#N],#N,0
X3,[O],O,1
X3,[N],N,2
X3,[=N],=N,1
X3,[C],C,3
X3,[=C],=C,2
X3,[#C],#C,1
X4,[F],F,0
X4,[=O],=O,0
X4,[#N],#N,0
X4,[O],O,1
X4,[N],N,2
X4,[=N],=N,1
X4,[C],C,3
X4,[=C],=C,2
X4,[#C],#C,1
X0,[Cl],Cl,1
X0,[Br],Br,1
X0,[S],S,2
X0,[P],P,3
X1,[Cl],Cl,0
X1,[Br],Br,0
X1,[S],S,1
X1,[P],P,2
X2,[Cl],Cl,0
X2,[Br],Br,0
X2,[S],S,1
X2,[P],P,1
X3,[Cl],Cl,0
X3,[Br],Br,0
X3,[S],S,1
X3,[P],P,1
X4,[Cl],Cl,0
X4,[Br],Br,0
X4,[S],S,1
X4,[P],P,1
X0,[Branch1],B(1),X0
X0,[Ring1],R(1),X0
X1,[Branch1],B(1),X1
X1,[Ring1],R(1),X1
X2,[Branch1],B(1),X2
X2,[Ring1],R(1),X2
X3,[Branch1],B(1),X3
X3,[Ring1],R(1),X3
X4,[Branch1],B(1),X4
X4,[Ring1],R(1),X4
